subcategory,action,category,subcategory_remap,notes
intimate cloths & wipes,REMOVE,,,Non-supplement category
intimate douches & enemas,REMOVE,,,Non-supplement category
intimate health treatments,REMOVE,,,Non-supplement category
intimate soaps & washes,REMOVE,,,Non-supplement category
iodine supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
iron supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
ironing accessories,REMOVE,,,Non-supplement category
itching & rash treatments,REMOVE,,,Non-supplement category
jerky,REMOVE,,,Non-supplement category
joint & muscle pain relief,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
joint & muscle pain relievers,REMOVE,,,Non-supplement category
jump ropes,REMOVE,,,Non-supplement category
l-arginine amino acids,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
l-carnitine supplements,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
l-glutamine amino acids,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
l-lysine amino acids,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
lactation consumables & supplements,REMAP,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,Maps to MISCELLANEOUS SUPPLEMENTS / NON-SPECIFIC
lard & shortening,REMOVE,,,Non-supplement category
laxatives,REMAP,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,Maps to FIBER PRODUCTS & LAXATIVES / FIBER PRODUCTS & LAXATIVES
lemonade,REMOVE,,,Non-supplement category
lice treatments,REMOVE,,,Non-supplement category
light therapy devices,REMOVE,,,Non-supplement category
liquid bandages,REMOVE,,,Non-supplement category
live indoor plants,REMOVE,,,Non-supplement category
macadamia nuts,REMOVE,,,Non-supplement category
magnesium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
magnetic therapy,REMOVE,,,Non-supplement category
makeup removers,REMOVE,,,Non-supplement category
