Product_ID,ASIN/UPC Key,MI: Brand,MI: Description,Source Category Trx,Source Subcategory Trx,Dollars in USD
79,B0F2F7H3R6,ENASKIN,DARK SPOT REMOVER FOR FACE AND BODY: HYPERPIGMENTATION TREATMENT - NATURAL INGREDIENT - FRECKLE/MELASMA/SUN SPOT/AGE SPOT REMOVER - DARK SPOT CORRECTOR CREAM FOR WOMEN AND MEN,FACE SKIN CARE,ACNE & BLEMISH TREATMENTS,
80,B0CR4JHJF6,MASTER MASSAGE EQUIPMENT,MASTER MASSAGE EXTRA WIDE 31 SPAMASTER STATIONARY MASSAGE TABLE PHYSICAL THERAPY SALON BEAUTY LASH CHIROPRACTIC BED-AESTHETIC SPA FACIAL MEDICAL TREATMENT TATTOO BED WITH SHELF IN MUSHROOM,SALON & SPA EQUIPMENT,PROFESSIONAL MASSAGE EQUIPMENT,3433.7
81,B0DZHBRK94,YBEAUTY,"PROFESSIONAL MICROBLADING TATTOO GUN KIT, WIRELESS EYEBROW TATTOO PEN MACHINE KITS, COMPLETE MICROBLADING SUPPLIES WITH 2PCS 500 MAH BATTERY, 20PCS CARTRIDGE NEEDLES FOR ARTISTS",SALON & SPA EQUIPMENT,PIERCING & TATTOO SUPPLIES,
82,B07GJL3RBD,WYNDMERE,WYNDMERE NATURALS ESSENTIAL OIL LAVANDIN ~ CERTIFIED ORGANIC ~ 10ML (1/3 OZ),ALTERNATIVE MEDICINE,AROMATHERAPY PRODUCTS & SUPPLIES,
83,B0F7C9DWG6,FENTY BEAUTY,FENTY HAIR THE COMEBACK KID INSTANT DAMAGE TREATMENT - 150 ML / 5 FL OZ,HAIR TREATMENTS,OTHER HAIR TREATMENTS,
84,B086RYBTBF,A2Z SCILAB,"SUPERCUT LISTER BANDAGE SCISSORS, WITH ONE SERRATED BLADE AND GOLD RINGS - PERFECT FOR EMT PARAMEDICS, FIRST AID RESPONDERS STAINLESS STEEL (4.5 INCH)",MEDICAL & HEALTHCARE SUPPLIES,SURGICAL SUPPLIES & TOOLS,
85,B07VN5QTWG,ODONTOMED2011,ODONTOMED2011 NAVY BLUE PVC INSULATED GRIP HANDLE STAINLESS MOSQUITO HEMOSTAT LOCKING FORCEPS STRAIGHT 5 SERRATED CLAMP FISHING TOOLS ODM,MEDICAL & HEALTHCARE SUPPLIES,SURGICAL SUPPLIES & TOOLS,
86,B088FFV6YV,HEALTHYHEY ORGANIC,"HEALTHYHEY ORGANIC SPIRULINA POWDER MICRO SUPERFOOD, RICH IN PROTEIN, VITAMINS & MINERALS 100 G (PACK OF 1)",SUPPLEMENTS,SUPERFOODS,
87,B0D2M79C6Y,NUTRARIZE,"NUTRARIZE (2 PACK) PRONERVE6 NEUROPATHY, PRONERVE 6 NERVE SUPPORT SUPPLEMENT, PRO NERVE 6 CAPSULES, PRONERVE6 PASTILLAS REVIEWS (120 CAPSULES)",SUPPLEMENTS,OTHER DIETARY SUPPLEMENTS,4454.87
88,B0F8PB7N9H,CALEXOTICS,CALEXOTICS SIZE QUEEN DILDO 12 INCH,SEXUAL WELLNESS,SEX TOYS,
