asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0D9JNVM4M,"tgh natural black spaniel beads bracelet micro faceted 3-3.5 beads gemstones jewelry for her, birthstone, gold plated chain 8 inch, valentine day gift (black spaniel)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D9JNVZPG,"tgh natural multi tourmaline beads bracelet micro faceted 3-3.5 beads gemstones jewelry for her, birthstone, gold plated chain 8 inch, valentine day gift (multi tourmaline)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D9JQ86GP,"tgh natural red garnet beads bracelet micro faceted 3-3.5 beads gemstones jewelry for her, birthstone, gold plated chain 8 inch, valentine day gift (red garnet)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D9JQ8GCG,"natural lapis lazuli gemstone round beads bolo bracelet, chakra healing crystals, 14k gold plated, adjustable slider, birthday, wedding, handmade, 6-9 inch, valentine day gift (lapis lazuli)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D9JR5BJ3,"natural red garnet gemstone round beads bolo bracelet, chakra healing crystals, 14k gold plated, adjustable slider, birthday, wedding, handmade, 6-9 inch, valentine day gift (red garnet)",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0D9L8R9JM,colorful bling natural healing stone crystal butterfly choker necklace for women jewelry gifts spiritual anxiety reik meditation relax bohemian dainty elegant vacation-brown,colorful bling,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0D9VZYC29,beadthoven 4pcs natural rose quartz healing crystals stone pendants 2 styles natural gemstone charms chakra reiki crystal dangle charms for jewelry making necklace earrings diy crafts supplies,bb beadthoven,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DC358K86,"amethyst/clearquartz/rosequartzpendulumpackof3âorgonecrystalpendulumâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DC3BCXZL,"lapislazulipendulumâorgonecrystalpendulumâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DC3H1RS8,"tripleprotectionpendulumâorgonecrystalpendulumâblackobsidian,tigereye,hematiteâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DC3PKVG2,"clearquartz/rosequartz/amethyst(layered)pendulumâorgonecrystalpendulumâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DC6D94W4,65mm natural dragon blood stone sphere with wood stand healing crystal ball mineral gemstone divination energy chakra sculpture figurine for fengshui,kino,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DCSB8DM3,"apatitependulumâorgonecrystalpendulumâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DJGVNTXW,"tgh natural gemstone faceted beads handmade beaded necklace, energy healing stones, birthstone jewlry, crystals women fashion jewelry for her, mother's day gifts",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DJLT88TP,"tgh natural labradorite chips bar necklace, energy healing crystals, uncut nuggets, gift for her, gemstone jewelry 18 inch adjustable chain,black plated valentine day gift",tgh,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DLGJR9YF,crystaltears24pcscrystalsheartstonesbulkwithgiftscardspockethugtokengiftsnaturalloveheartshapehealingcrystalgemstonesinspirationalgiftsforwomenfriendsfamiliesvalentineâsday,crystaltears,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DMF599Q4,jovivi cat gifts necklace natural amethyst rose quartz healing crystal stones pendant necklaces for women men gemstone mini cute animal cat jewelry gifts,jovivi,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
